#,单词,解释,笔记
121,"Cohesion(内聚)","",
122,"Coupling(耦合)","",
123,"Classes","n. 级别，阶级（class复数形式）",
124,"Behavior(行为)","",
125,"element","- n. (化学)元素
- 成分, 要素, 原件
- 一伙人
- 基础, 纲要, 原理",
126,"stateHighs","",
127,"dimensions","规模;尺寸规格",
128,"components","n. 零组件, 成分@adj. 组成的,合成的",
129,"时 态: addressed, addressing, addresses","",
130,"base address","",
131,"subscript","- adj. 下标的,脚注的
- n. 下标,脚注",
132,"array elements","",
133,"One-Dimensional Array","",
134,"initialized","已初始化的",
135,"reached","",
136,"nameable","adj. 可指名的，可命名的；值得注意的；值得纪念的",
137,"global scope","",
138,"declaration","- n. 宣布, 宣告, 声明
- 申报(单)",
139,"Scope","- n. 视野；眼界；范围；余地；导弹射程
- vt. [俚]审视


时 态:  
scoped, scoping, scopes",
140,"pass-by- address","",
141,"pass-by-reference","",
142,"pass-course","旁近路线",
143,"pass-by-value","",
144,"reference frame","n. 坐标系统,参考系",
145,"Parameter List","",
146,"enclosing an argument list.","",
147,"Prototype","n. 原型, 雏形, 蓝本

形容词:  
prototypal",
148,"Count-controlled Loop","",
149,"Statement","- n. 声明, 陈述
- 结算单, 报表",
150,"looping","- n. 循环；回路法；构成环形
- adj. 环状的；循环的
- v. 打成环状；把导线连成回路；缠（loop的ing形式）",
151,"branch","- vt. 分支；出现分歧
- vi. 分支；出现分歧
- n. 树枝，分枝；分部；支流


时 态:  
branched, branching, branches 

形容词:  
branchless

形容词:  
branchy",
152,"terminates output line","",
153,"sets precision to n digits","",
154,"sets field width to n positions","",
155,"right-justified","",
156,"specification","- n. 说明书, 详细的计划书
- 载明, 详述, 说明",
157,"setw","",
158,"rounded","adj. 成圆形的

名 词:  
roundedness",
159,"decimal point","小数点",
160,"argument","n. 争吵；论据；内容提要；论证",
161,"determines","",
162,"manipulatory","adj. 操作的,操纵的,控制的",
163,"Statements","",
164,"via linker","",
165,"via compiler","",
166,"subprograms","",
167,"Current","- adj. 现在的；最近的；草写的；流通的，通用的
- n. 趋势；涌流；（水，气，电）流


副 词:  
currently

名 词:  
currentness",
168,"instructions","n. 操作指南；用法说明",
169,"binary-coded","n. 二进制编码的十进制,二-十进制",
170,"symbols","n. 符号；象征；标志；符号表（symbol的复数）",
171,"coercion","n. 强迫；强制；高压政治；威压


形容词:  
coercionary",
172,"leftassociative","",
173,"Associativity","结合性",
174,"priority","n. 优先；优先权；优先次序；优先考虑的事",
175,"parentheses","n. 圆括号,插入语,插曲",
176,"Addition","n. 添加；增加物；加法


形容词:  
additional

副 词:  
additionally",
177,"Subtraction","n. 减, 减法",
178,"Modulus","n. 系数,模数",
179,"Multiplication","- n. 增多;增加;乘;繁殖
- 乘法

形容词:  
multiplicational",
180,"evaluated","",
181,"constants","",
182,"arrangement","- n. 安排; 解决办法
- 约定; 协议
- 布置好的东西
- 改编曲",
183,"valid","adj. 正当的；有效的，有根据的


名 词:  
validity  or

副 词:  
validly",
184,"allocate","- vt. 分配；拨出；使坐落于
- vi. 分配；指定


时 态:  
allocated, allocating, allocates 

形容词:  
allocable

名 词:  
allocation",
185,"significant","- adj. 重要的, 重大的, 可观的
- 有意义的, 有用意的
- 意味深长的

副 词:  
significantly",
186,"identifier","n. 检验人,标识符",
187,"compilers","",
188,"underscore","- vt. 划线于…下,强调
- n. 底线

时 态:  
underscored, underscoring, underscores",
189,"built-in","adj. 是…的组成部分的; 嵌入式的; 内置的

名 词:  
built-in",
190,"represent","- vt. 表现, 描绘
- 代表, 象征, 表示
- 作为…的代表

时 态:  
represented, representing, represents 

名 词:  
representability

形容词:  
representable

名 词:  
representer",
191,"Integral Types","",
192,"enum","",
193,"reference","- n. 提及, 涉及
- 参考, 查阅
- 引文; 参考书目
- 证明书; 推荐信; 证明人; 推荐人

时 态:  
referenced, referencing, references 

名 词:  
referencer

形容词:  
referential

副 词:  
referentially",
194,"Arithmetic","- n. 算术
- 计算

形容词:  
arithmetic

副 词:  
arithmetically

名 词:  
arithmetician",
195,"Numeric","adj. 数字的",
